STATE_FDID,STATE,FDID,DEPT_NAME,DEPT_TYPE,TOTAL_INCIDENTS,FIRE_INCIDENTS,STRUCTURE_FIRES,EMS_INCIDENTS,RESPONSE_TIME_AVG,CONTAINMENT_RATE,PROP_LOSS_ADJ,PROP_LOSS_USD,TOTAL_FF,FF_PER_1000_INC,STATIONS,STA_PER_1000,CAREER_PCT,CIV_CAS_PER_1000,FF_INJ_PER_1000,DATA_QUALITY,PEER_GROUP,RESP_NP,CONT_NP,PL_NP,FF1000_NP,RESP_PP,CONT_PP,PL_PP,FF1000_PP
CO-3930,CO,3930,ELIZABETH FIRE DEPARTMENT,Volunteer,115,33,16,0,16.7091,50.0,14.0852,542000.0,36,313.0435,,,2.7778,60.6061,0.0,100,XS,52.7475,57.9685,67.0267,61.9597,54.2305,59.0658,68.8382,60.7982
CO-5930,CO,5930,ELK CREEK FPD,Volunteer,86,32,15,0,39.381,33.3333,29.9484,650000.0,70,813.9535,4,46.5116,14.2857,0.0,0.0,100,XS,1.5267,39.1038,51.2287,83.0185,1.5821,40.5231,53.1336,82.4201
CO-6925,CO,6925,ESTES VALLEY FPD,Volunteer,135,24,10,0,23.7556,66.6667,2.5,5000.0,37,274.0741,1,7.4074,2.7027,0.0,0.0,100,XS,23.0256,76.1741,87.2941,59.2324,23.7925,76.1401,87.7127,58.1374
CO-12318,CO,12318,EVANS FIRE DEPARTMENTRESCUE,Volunteer,141,57,21,0,13.4538,83.3333,71.3725,182000.0,75,531.9149,2,14.1844,9.3333,0.0,0.0,100,XS,70.3504,86.2191,27.0321,73.5112,71.7695,85.7656,28.6898,72.6084
CO-5933,CO,5933,EVERGREEN FIRE RESCUE,Volunteer,156,54,28,0,23.0581,41.6667,57.8649,2007305.0,90,576.9231,10,64.1026,0.0,37.037,0.0,100,XS,25.5729,47.579,33.1083,75.3321,26.4207,48.9773,34.9426,74.4828
CO-4142,CO,4142,FALCON FPD,Volunteer,177,101,49,0,16.9425,50.0,1.0273,56000.0,47,265.5367,3,16.9492,21.2766,9.901,0.0,100,XS,51.396,57.9685,92.4116,58.601,52.8473,59.0658,92.4095,57.5061
CO-135,CO,135,FEDERAL HEIGHTS FD,Volunteer,74,34,13,0,7.7534,83.3333,0.2228,10400.0,39,527.027,1,13.5135,41.0256,0.0,0.0,100,XS,95.8509,86.2191,96.3408,73.3206,95.8559,85.7656,96.1757,72.4111
CO-4350,CO,4350,FLORENCE FIRE PROTECTION DIST,Volunteer,123,53,13,0,21.0744,50.0,11.6279,215000.0,18,146.3415,1,8.1301,0.0,0.0,0.0,100,XS,32.5362,57.9685,70.4564,49.7768,33.5908,59.0658,72.0663,49.1121
CO-8715,CO,8715,FORT MORGAN FD,Volunteer,114,75,38,0,17.1636,44.4444,,0.0,34,298.2456,1,8.7719,0.0,0.0,0.0,100,XS,50.317,49.894,,61.0016,51.7752,51.1436,,59.8455
CO-4148,CO,4148,FOUNTAIN FD,Volunteer,189,86,27,0,19.8011,80.0,0.9925,44140.0,91,481.4815,3,15.873,26.3736,0.0,0.0,100,XS,37.9588,85.0136,92.6816,71.1949,39.1643,84.5875,92.6858,70.2379
